palabra,mean_rt,mean_error,concreteness,familiarity,aoa,palabra_noaccents
alabanza,844.1633333366667,18.91891891891892,3.538,3.515,8.719,alabanza
alabar,768.537931024138,25.64102564102564,,,,alabar
alacena,856.8000000095238,50.0,,,,alacena
alambre,666.6621621459459,5.128205128205128,,,,alambre
alarde,757.5120455045454,43.58974358974359,,,9.84,alarde
alargar,690.956250003125,3.03030303030303,,,6.04,alargar
alarma,581.1212121242424,0.0,,,,alarma
alarmar,703.0157894789473,5.0,,,,alarmar
alba,603.3444117676471,2.857142857142857,,,,alba
albañil,635.0888888944445,7.6923076923076925,,,,albanil
albaricoque,717.47375,5.882352941176471,6.75,5.556,,albaricoque
albergar,640.0218750125,3.03030303030303,,,10.048,albergar
albina,769.9683333933333,21.05263157894737,,,8.333,albina
albornoz,665.0638888944444,7.6923076923076925,6.826,6.286,,albornoz
alboroto,723.546875,0.0,,,,alboroto
álbum,587.4611110944445,5.263157894736842,,,,album
alcachofa,687.7088235294118,2.857142857142857,6.414,5.85,,alcachofa
alcaide,789.0041666708333,36.84210526315789,5.217,2.952,9.692,alcaide
alcalde,580.4883721069767,0.0,,,,alcalde
alcance,618.1290625,3.03030303030303,,,8.158,alcance
alcanzar,607.0314285771428,0.0,,,,alcanzar
alcoba,746.6999999787879,8.333333333333332,,,,alcoba
alcohol,578.6628571800001,0.0,,,,alcohol
alcohólica,631.0405405432432,2.631578947368421,,,,alcoholica
alcohólico,609.6591666472223,2.7027027027027026,,,,alcoholico
aldea,655.397297327027,2.631578947368421,,,6.15,aldea
aleación,734.2248148148149,25.0,,,,aleacion
alegoría,761.0551724172414,14.70588235294118,,,,alegoria
alegrar,638.2903225741935,3.125,,,,alegrar
alegre,562.8376388888889,0.0,4.469,6.607,,alegre
alegría,599.2333333484848,5.714285714285714,,,,alegria
alejamiento,724.9964705823529,8.108108108108109,,,6.524,alejamiento
alejar,673.7323529470589,0.0,,,,alejar
alemán,586.8444444444444,5.263157894736842,,,,aleman
alentador,762.9542857371429,7.894736842105263,,,,alentador
alergia,610.8023611055555,0.0,,,,alergia
alerta,575.9794117617647,10.52631578947368,,,,alerta
aleta,727.5001612870967,11.428571428571429,,,5.1,aleta
alfa,673.1500000055555,7.6923076923076925,,,10.364,alfa
alfabeto,657.1676470705883,2.857142857142857,,,5.85,alfabeto
alfiler,709.2366666633334,21.05263157894737,,,,alfiler
alfombra,620.0499999631579,0.0,,,,alfombra
algarabía,873.3823529352941,45.16129032258064,,,,algarabia
álgebra,719.8199999971429,5.405405405405405,,,,algebra
algo,622.7533823441177,8.108108108108109,1.3,6.571,,algo
algodón,658.6216216351352,2.631578947368421,,,,algodon
alguacil,740.0251666466667,16.66666666666667,6.2,2.423,10.038,alguacil
alguna,571.8571428228571,0.0,2.75,6.857,,alguna
alguno,610.708108118919,2.631578947368421,2.517,6.5,,alguno
aliado,672.7243902292682,2.3809523809523814,,,8.571,aliado
alianza,624.0342104736842,2.564102564102564,,,,alianza
alicatar,834.3666666666667,18.18181818181818,,,,alicatar
alicates,722.0911764823529,2.857142857142857,,,,alicates
alienación,695.4457142685715,10.25641025641026,,,,alienacion
alienígena,753.2285714392857,6.666666666666667,,,,alienigena
alimentación,603.584999995,0.0,,,,alimentacion
alimentar,618.3823529411765,0.0,,,,alimentar
alimento,575.6475,0.0,,,,alimento
aliviar,644.2772973027027,0.0,,,7.474,aliviar
alivio,633.9352777722222,2.7027027027027026,,,,alivio
alma,548.4264705852942,0.0,,,,alma
almacén,628.8794871820513,2.5,,,,almacen
almacenamiento,742.7695945864865,0.0,,,8.429,almacenamiento
almeja,690.4916666638889,2.7027027027027026,,,,almeja
almendra,624.4615714228571,2.777777777777778,,,4.05,almendra
almendro,674.7914285657143,7.894736842105263,6.65,4.821,,almendro
almíbar,696.1999999967742,8.823529411764707,,,,almibar
almidón,639.5249999972223,10.0,,,,almidon
almirante,740.86562500625,5.882352941176471,,,,almirante
almohada,626.1194444194444,2.7027027027027026,,,,almohada
almorzar,624.4794117588235,2.857142857142857,,,4.167,almorzar
almuerzo,618.6939394030303,0.0,,,,almuerzo
alojamiento,625.9486486540541,0.0,,,7.143,alojamiento
alquilar,621.5750000027778,2.7027027027027026,,,8.05,alquilar
alquiler,591.6864865135135,2.631578947368421,,,,alquiler
alrededor,639.0358974410257,0.0,3.069,5.848,,alrededor
altar,648.2403125,3.03030303030303,,,7.75,altar
altavoz,593.642500005,0.0,,,6.1,altavoz
alteración,680.3648648594594,2.631578947368421,,,,alteracion
alterado,696.2191666666666,0.0,,,,alterado
alterar,645.3864864756757,2.631578947368421,,,,alterar
alternancia,696.4793939424243,5.714285714285714,,,10.12,alternancia
alternativa,645.6857142942857,0.0,,,8.04,alternativa
alteza,659.9125000125,5.882352941176471,5.48,3.846,7.231,alteza
altitud,733.483281253125,5.882352941176471,3.964,5.571,,altitud
alto,617.8848484969697,0.0,,,,alto
altruismo,691.5515151727272,2.941176470588235,3.136,3.571,,altruismo
altura,543.1798648675675,0.0,,,,altura
alucinación,764.3532352911765,5.555555555555555,,,,alucinacion
aludir,740.28140625,11.11111111111111,,,,aludir
alumbrado,674.9323529470588,2.857142857142857,,,8.524,alumbrado
alumbrar,687.8648648783784,2.631578947368421,,,,alumbrar
aluminio,667.849722225,0.0,,,,aluminio
alumna,656.1558823647059,0.0,,,5.0,alumna
alumno,639.8261111055556,0.0,,,,alumno
alusión,653.921093753125,8.571428571428571,,,,alusion
alzar,712.8676470441177,10.52631578947368,,,7.19,alzar
ama,663.407692323077,7.142857142857142,,,,ama
amabilidad,633.6394736894737,0.0,,,,amabilidad
amable,595.3833333333333,2.325581395348837,4.812,6.536,,amable
amada,648.2011764647059,8.108108108108109,4.684,5.394,,amada
amado,662.2999999970589,8.108108108108109,,,,amado
amanecer,595.2705882264706,0.0,,,,amanecer
amante,581.4891891756756,2.631578947368421,,,,amante
amapola,700.2888888916667,2.7027027027027026,6.636,4.538,,amapola
amar,605.2324324378378,2.631578947368421,,,,amar
amargo,635.676624985,0.0,4.0,5.923,,amargo
amargura,735.712499990625,5.882352941176471,,,,amargura
amarilla,613.8421052815789,0.0,5.679,6.524,,amarilla
amarillo,585.8311428485714,2.777777777777778,5.828,6.345,,amarillo
ámbar,697.4109677387097,6.0606060606060606,,,,ambar
ambición,626.3400000166666,3.225806451612903,,,,ambicion
ambicioso,640.5743589794872,0.0,3.696,5.095,9.423,ambicioso
ambiente,576.7029411794117,0.0,,,,ambiente
ambigüedad,673.9783783567567,0.0,,,,ambiguedad
ámbito,578.5498611111111,2.7027027027027026,,,,ambito
ambulancia,614.4400000025,0.0,,,,ambulancia
amén,597.7514285714286,2.777777777777778,,,,amen
amenaza,624.9250000333334,0.0,,,,amenaza
amenazado,685.6459459378378,2.631578947368421,,,,amenazado
amenazador,678.2294117676471,2.857142857142857,,,,amenazador
amenazar,620.6420270405406,0.0,,,,amenazar
americana,620.230555525,2.7027027027027026,,,,americana
americano,590.9633783891892,0.0,,,,americano
amiga,570.8157894736842,2.564102564102564,,,,amiga
amigable,639.85,0.0,3.963,6.179,,amigable
amigo,596.3593750125,3.03030303030303,,,,amigo
aminoácido,743.7966666466667,11.76470588235294,,,,aminoacido
amistad,575.9883823529411,0.0,,,,amistad
amistoso,594.0619047357143,2.325581395348837,,,,amistoso
amnesia,678.2727273090909,2.941176470588235,5.217,4.286,9.615,amnesia
amo,635.71714284,2.777777777777778,,,,amo
amor,545.1333333358974,0.0,,,,amor
amordazar,750.1071428535714,22.22222222222222,,,,amordazar
amorosa,622.8741935580645,6.0606060606060606,4.087,5.905,5.923,amorosa
amparo,734.26562500625,11.11111111111111,,,10.429,amparo
amplia,682.4433333366667,3.225806451612903,,,,amplia
ampliar,605.1153846333333,0.0,,,6.81,ampliar
amplitud,624.7619444444445,0.0,,,,amplitud
ampolla,661.8210294117647,8.108108108108109,5.812,5.714,,ampolla
amputación,740.4612903225807,3.125,,,,amputacion
amuleto,671.3305556055556,2.7027027027027026,5.478,4.429,7.538,amuleto
