palabra,Action_Mean,Action_SD,BodyExp_Mean,BodyExp_SD,Evaluation _Mean,Evaluation _SD,Feeling_Mean,Feeling_SD,Interoception_Mean,Interoception_SD,Morality_Mean,Morality_SD,SenExp_Mean,SenExp_SD,SocInt_Mean,SocInt_SD,Thought_Mean,Thought_SD,palabra_noaccents
atracción,5.28,1.904380914278093,5.521739130434782,1.6200326937607634,5.5,1.1920791213585393,6.0,1.6543403837370223,5.869565217391305,1.3586205512841103,4.380952380952381,1.7457431218879393,4.869565217391305,2.0294277703576475,6.25,0.7163503994113789,5.695652173913044,1.3959285801180918,atraccion
atractivo,3.8,2.1423056934551905,5.739130434782608,0.7518094115561115,4.761904761904762,1.6094956323259126,4.681818181818182,2.101844170662734,4.428571428571429,1.5675276256394521,3.909090909090909,1.973855084879307,,,4.809523809523809,2.0400746951777924,4.809523809523809,1.9136103997169231,atractivo
atraído,5.291666666666667,1.9886453039512948,5.6521739130434785,1.3006535298622324,5.5,1.0513149660756937,5.75,1.4095538674570611,5.478260869565218,1.8554481256654882,4.095238095238095,2.0224925687072846,4.608695652173913,2.230758746476238,6.1,0.9119095061289901,5.130434782608695,1.455533261419612,atraido
atrayente,5,1.954016841836789,4.363636363636363,1.9891480479617285,4.842105263157895,1.863782232592187,5.095238095238095,1.7001400502535644,4.9,1.119210247874531,3.9565217391304346,2.364092385319176,4.695652173913044,1.8199596051634988,5.842105263157895,1.2588865404147527,3.9411764705882355,1.5600716423971575,atrayente
atreverse,5.9,1.3337718577106994,5.304347826086956,1.4904173487710697,5.666666666666667,1.3165611772087658,5.318181818181818,1.4924050144892727,4.857142857142857,1.5583874449479589,4.5,1.5961262630566064,4.681818181818182,1.4271638086766831,4.333333333333333,2.1525179054617256,5.333333333333333,1.4259499757471619,atreverse
atrevido,6.04,1.4571661996262935,5.086956521739131,1.5049326012773303,5.15,1.1821033884786174,4.95,2.139232523470435,4.739130434782608,1.8881783261398661,4.523809523809524,1.6315344807587617,,,4.95,1.9861361590045288,5.565217391304348,0.9451352455659815,atrevido
atrevimiento,5.95,0.9445132413883339,4.956521739130435,1.5514878744308402,5.380952380952381,1.4654757069358222,5.136363636363637,1.4895015000377543,4.571428571428571,1.7196345126633328,4.5,1.5660079668957474,4.409090909090909,1.5324767040594283,4.523809523809524,1.9395630337539334,5.0,1.5811388300841898,atrevimiento
aturdido,3.727272727272727,2.0043243293728734,4.318181818181818,1.585240364420176,3.238095238095238,1.8948551898433268,3.5,2.013114894621608,5.55,1.1909748329127618,2.625,1.8371173070873836,,,3.2,1.7947291248483563,3.789473684210526,1.9601288894248494,aturdido
aturdimiento,3.5714285714285716,1.8593393604027368,4.333333333333333,2.0579830217101063,2.5238095238095237,1.8060744065250363,3.8947368421052633,1.9117977822546812,5.12,1.6663332999933314,2.6363636363636362,1.2552918289216957,3.9047619047619047,1.4800257398019097,2.4285714285714284,1.4342743312012722,3.55,1.8202082009311027,aturdimiento
aturdirse,4.052631578947368,1.5802139169719442,4.619047619047619,1.8567765206451337,2.888888888888889,2.111283102729068,4.631578947368421,1.8918106058538346,5.05,1.5035046776746235,2.5454545454545454,1.9451349011186303,3.8095238095238093,1.6315344807587617,2.95,1.6693837501494848,4.222222222222222,1.4775000967674117,aturdirse
audacia,4.444444444444445,1.7564075040438192,3.1,2.1496633763403397,5.352941176470588,1.8351149988007642,3.736842105263158,2.050531239111733,3.4444444444444446,2.3065691920921205,5.105263157894737,1.7286711930171252,2.7,1.8945906376340316,3.3529411764705883,2.206274474951729,4.8,2.015727634065883,audacia
audaz,4.631578947368421,2.005839428485116,2.9473684210526314,1.7786912857655988,4.647058823529412,2.0291986247835694,4.2631578947368425,1.6276126096272243,3.45,1.932410548076104,4.842105263157895,1.7082531003837695,,,3.176470588235294,1.94407092584244,4.545454545454546,1.7922391615298476,audaz
autocompasión,3.8636363636363638,1.958995236763565,3.3,2.1051315748352692,4.166666666666667,1.8097962092016269,5.363636363636363,1.5900121157206726,4.538461538461538,1.9845557534273353,4.3478260869565215,1.8734677533720459,4.2,1.9084300519426678,3.0476190476190474,2.1325147238926743,4.6,1.8750438591361567,autocompasion
