palabra,Prototypicality_Mean,Prototypicality_SD,Valence_Mean,Valence_SD,Arousal_Mean,Arousal_SD,Happiness_Mean,Happiness_SD,Disgust_Mean,Disgust_SD,Anger_Mean,Anger_SD,Fear_Mean,Fear_SD,Sadness_Mean,Sadness_SD,AoA_Mean,AoA_SD,Concreteness_Mean,Concreteness_SD,palabra_noaccents
comprensivo,3.05,1.4680814547887784,,,,,,,,,,,,,,,7.666666666666667,2.198484326378821,4.25,1.9159991209755154,comprensivo
condescendencia,1.8,1.0327955589886446,,,,,,,,,,,,,,,10.95,0.22360679774995756,3.5789473684210527,1.6437014284732223,condescendencia
condescender,1.5,0.7071067811865476,4.142857142857143,1.5118578920369092,5.111111111111111,1.3672165321380638,1.5555555555555556,0.7264831572567788,1.5714285714285714,0.9376144618769909,1.6363636363636365,1.1200649331826502,1.6363636363636365,0.8090398349558906,2.0,1.0954451150103321,10.6,0.8280786712108211,3.5555555555555554,1.9165600993392005,condescender
condescendiente,1.6923076923076923,0.9473309334313418,,,,,,,,,,,,,,,10.666666666666666,0.6582805886043775,3.75,1.7129537431920892,condescendiente
condolecer,2.789473684210526,1.1822270588653647,3.0526315789473686,1.6823820483841196,4.666666666666667,2.439750182371333,1.3888888888888888,0.6978023391872253,1.4,0.8825799501580877,2.1333333333333333,1.245945806357946,2.0714285714285716,1.3847680013570567,3.526315789473684,0.9642741111341258,10.6875,1.0144785195688801,4.421052631578948,1.7099639201419237,condolecer
condolencia,2.95,1.5381123085406379,,,,,,,,,,,,,,,10.227272727272727,1.3068252399583555,4.4,1.984147702481637,condolencia
condolerse,3.0526315789473686,1.6490294859747157,2.6470588235294117,1.3200935795706035,5.166666666666667,1.855040827202527,1.263157894736842,0.5619514869490164,1.5625,1.0307764064044151,1.8,0.9411239481143201,2.3529411764705883,1.0571882797418486,3.736842105263158,0.9334586382051245,10.529411764705882,1.178857871990064,4.4,1.7647338933351158,condolerse
confiado,2.3333333333333335,1.3165611772087666,6.0,1.1697953037312037,3.4,2.5628931020687498,3.55,0.9445132413883324,1.3333333333333333,0.7337993857053428,1.5238095238095237,0.9283882603225668,1.3,0.8013147091860319,1.35,0.7451598203705945,7.55,2.1878853044122675,4.130434782608695,1.6321861476416717,confiado
confianza,2.8095238095238093,1.4703417160322843,,,,,,,,,,,,,,,,,,,confianza
confiar,2.1818181818181817,1.4354811251305466,,,,,,,,,,,,,,,,,,,confiar
conformarse,1.8095238095238095,1.123345344008138,4.0,1.6222142113076254,3.272727272727273,1.7232808737106584,1.75,0.910465468000326,2.05,1.234376040972246,1.4761904761904763,0.7496030695673291,1.85,0.8750939799154205,2.1,0.967906041546987,7.285714285714286,2.2168188275738077,4.2,2.0925934551223877,conformarse
conforme,2.15,1.0894228312566052,,,,,,,,,,,,,,,8.3,2.10513157483527,3.6363636363636362,1.6488222216523882,conforme
conformidad,2.0,1.1697953037312037,,,,,,,,,,,,,,,,,,,conformidad
confort,1.7,0.9787209698591859,,,,,,,,,,,,,,,,,4.318181818181818,1.6442211540614609,confort
confortable,2.4761904761904763,1.3645163106041502,,,,,,,,,,,,,,,8.217391304347826,1.7826568970635421,4.136363636363637,1.4895015000377534,confortable
confortado,3.35,1.1821033884786187,6.7,1.5593520921743182,3.1666666666666665,1.857222485950146,3.8421052631578947,1.0145145470035766,1.0909090909090908,0.4264014327112208,1.6842105263157894,1.3764944032233706,1.2380952380952381,0.7003400534570263,1.45,0.998683343734455,10.055555555555555,1.21132995564293,3.8947368421052633,1.8225359878204284,confortado
confortar,2.25,1.019545822516343,6.6,1.8467610337532767,3.5416666666666665,1.5874279625330667,3.5,0.9459053029269173,1.0952380952380953,0.43643578047198484,1.7,1.1285761872936695,1.380952380952381,0.6690433824641325,1.55,0.9445132413883327,9.6,1.5694450913417899,3.5217391304347827,1.6200326937607634,confortar
confundido,2.55,1.1459310165698637,,,,,,,,,,,,,,,,,,,confundido
confundirse,2.1,1.1652874052533586,3.576923076923077,1.419100473485283,2.9615384615384617,1.1482428046635162,1.5,0.6069769786668839,1.75,0.8506963092234007,2.4285714285714284,1.0757057484009542,2.6363636363636362,1.1769797726729994,2.2857142857142856,1.2305631695633161,6.428571428571429,2.226464205223802,4.523809523809524,1.6618979396776332,confundirse
confusión,2.7142857142857144,1.5212776585113297,,,,,,,,,,,,,,,,,,,confusion
confuso,3.238095238095238,1.51343192462568,,,,,,,,,,,,,,,,,4.24,1.614517471774978,confuso
congoja,3.642857142857143,1.3926810257774176,,,,,,,,,,,,,3.6666666666666665,1.3706888336846834,,,,,congoja
conmiseración,2.5,1.51657508881031,3.6,1.1401754250991383,5.222222222222222,2.1081851067789192,1.6666666666666667,1.2110601416389966,1.625,1.1877349391654208,1.25,0.5,1.75,0.9574271077563381,3.0,1.8257418583505538,10.285714285714286,1.889822365046137,4.166666666666667,2.2286019533929036,conmiseracion
conmiserativo,2.25,1.2583057392117916,5.0,0.8944271909999159,5.555555555555555,2.006932429798716,1.75,0.9574271077563381,1.0,,2.0,,1.5,0.7071067811865476,2.6666666666666665,1.5275252316519468,10.636363636363637,1.2060453783110527,2.75,1.2583057392117916,conmiserativo
conmocionado,3.619047619047619,1.3955712262794215,4.052631578947368,2.0942695414584778,6.954545454545454,1.2527027058580464,2.6,1.142481141154959,1.4545454545454546,1.0107645728086347,1.9523809523809523,1.023532631438318,2.1,1.1652874052533586,3.5238095238095237,1.123345344008138,9.35,1.52,4.05,1.731290969494334,conmocionado
conmovedor,2.85,1.3869694338832115,,,,,,,,,,,,,,,9.714285714285714,1.309307341415953,3.8260869565217392,1.5855074872402404,conmovedor
conmoverse,3.25,1.3717065820970682,5.4,2.1126187291456167,6.0,1.7994708216848747,2.7,1.1742858972247994,1.1363636363636365,0.6396021490668313,1.619047619047619,0.9206622874969125,1.4,0.8207826816681232,3.090909090909091,1.3769908845391445,9.8,1.2814465510343758,4.476190476190476,1.4703417160322843,conmoverse
conmovido,4.3,1.1285761872936693,5.0,1.8918106058538346,5.875,1.962972457668527,2.75,1.2513150976809202,1.2608695652173914,0.540823555863717,1.55,0.887041208323017,2.0,1.0954451150103321,3.1,0.9679060415469873,9.666666666666666,1.3540064007726613,3.6956521739130435,1.5206094056091057,conmovido
consentido,1.75,1.118033988749895,3.8,1.6415653633362464,4.954545454545454,2.2985973513318476,2.25,0.9665456669582609,2.75,1.292692009559488,2.142857142857143,1.108409413786904,1.45,0.7591546545162483,1.9,1.0208355710680808,8.428571428571429,1.8860389330930727,4.4,1.6026294183720637,consentido
consolado,2.7142857142857144,1.5212776585113297,,,,,,,,,,,,,,,,,4.095238095238095,1.6402671094904604,consolado
consolarse,3.0476190476190474,1.3592715135759479,5.5,1.9867985355975657,3.727272727272727,1.9804236723685977,2.5,1.1002392084403616,1.2272727272727273,0.685344416842342,1.4761904761904763,0.8728715609439697,1.35,0.5871429486123997,2.5454545454545454,1.262170191802038,8.142857142857142,2.174527863369755,,,consolarse
consternación,3.2941176470588234,1.3117119482928095,,,,,,,,,,,,,,,10.523809523809524,1.0304876330673602,4.0,1.620185174601965,consternacion
consternado,4.055555555555555,1.0556415513645345,2.85,1.496487114615601,5.578947368421052,2.2928824526173313,1.6470588235294117,0.7859052479933758,1.84,1.1430952132988164,2.5,1.2485285456935955,2.1666666666666665,1.2947859237091257,3.411764705882353,0.9393364366277245,10.666666666666666,0.6582805886043775,3.5454545454545454,1.7382879570557408,consternado
consternarse,3.1904761904761907,1.2891488517253398,2.6315789473684212,1.116070802004837,5.823529411764706,1.7760663739584408,1.9285714285714286,0.828741930164745,1.3333333333333333,0.6370220572706061,2.789473684210526,1.2727462594467418,2.4705882352941178,1.3746657347707991,3.588235294117647,0.9393364366277245,10.722222222222221,0.6691131580686973,3.4761904761904763,1.503963018795596,consternarse
consuelo,2.3,1.260743306232687,,,,,,,,,,,,,,,,,,,consuelo
contento,4.95,0.22360679774997894,,,,,,,,,,,,,,,3.0434782608695654,1.4917427535227872,,,contento
contrariado,2.6315789473684212,1.4609938138050445,2.9473684210526314,1.223550580642996,5.7894736842105265,1.7184924714030623,1.5555555555555556,0.7047921864945658,1.76,1.0519822558706333,3.388888888888889,0.9164438231805326,1.7777777777777777,1.165966176260275,2.6842105263157894,1.293257367998745,9.285714285714286,2.1712405933672367,3.727272727272727,1.6382865085151268,contrariado
contrariarse,2.4444444444444446,1.247219128924647,3.111111111111111,1.2313975269103985,6.45,1.5035046776746244,1.1666666666666667,0.3834824944236852,1.9,1.0711528467275953,2.5,0.985184366143778,2.263157894736842,0.9911892555667043,2.2222222222222223,1.0602749674192766,9.238095238095237,2.0470652628766364,4.315789473684211,2.05622717019268,contrariarse
contrariedad,1.4,0.7539370349250518,,,,,,,,,,,,,,,,,,,contrariedad
contrición,1.5555555555555556,0.8819171036881968,3.6666666666666665,2.345207879911715,5.0,2.0816659994661326,1.5,0.7559289460184544,1.25,0.5,1.5555555555555556,1.0137937550497031,1.8,0.8366600265340757,2.4444444444444446,1.4240006242195884,10.777777777777779,0.6666666666666762,4.4,1.5165750888103104,contricion
contrito,1.5,0.7071067811865476,4.5,0.7071067811865476,6.0,1.0,1.6666666666666667,1.1547005383792515,1.0,,1.5,0.7071067811865476,1.0,0.0,2.5,2.1213203435596424,11.0,0.0,2.25,1.2583057392117916,contrito
conturbación,2.0,1.247219128924647,2.0,1.4142135623730951,5.142857142857143,1.864454471471609,1.375,0.7440238091428449,1.5,0.5773502691896257,2.6,1.341640786499874,2.4444444444444446,1.130388330520878,2.6,0.8944271909999163,10.909090909090908,0.30151134457777734,4.25,1.5,conturbacion
conturbado,3.0,2.1908902300206643,3.6666666666666665,1.0327955589886442,6.5,0.5773502691896257,1.4545454545454546,0.5222329678670934,1.4545454545454546,1.0357254813546264,1.75,0.5,1.8333333333333333,1.169045194450012,2.4,0.547722557505166,10.222222222222221,1.394433377556792,4.6,1.6465452046971294,conturbado
conturbarse,2.25,1.5,3.7142857142857144,1.1126972805283737,6.0,1.0,1.5,0.7559289460184544,2.1666666666666665,1.3291601358251257,2.6666666666666665,1.5275252316519468,2.4,1.3416407864998738,1.8,0.8366600265340757,11.0,0.0,3.875,1.807721533549109,conturbarse
