palabra,ico-m,ico-sd,palabra_noaccents
inconveniente,2.375,1.765,inconveniente
incorporación,2.136,1.583,incorporacion
incorporar,2.727,1.751,incorporar
incorrecto,3.909,2.091,incorrecto
incredulidad,2.4,1.472,incredulidad
incrédulo,1.864,1.552,incredulo
increíble,3.65,1.843,increible
incrementar,3.8,1.936,incrementar
incubación,3.75,2.124,incubacion
incuestionable,3.13,2.096,incuestionable
inculcar,2.64,1.63,inculcar
incumbir,2.5,1.739,incumbir
incumplimiento,3.095,2.189,incumplimiento
incumplir,3.375,2.06,incumplir
incurrir,2.56,1.356,incurrir
incursión,1.833,0.985,incursion
indagación,2.75,1.775,indagacion
indagar,2.391,1.406,indagar
indebida,1.85,1.531,indebida
indecente,2.72,1.904,indecente
indecible,3.05,1.932,indecible
indeciso,2.75,2.049,indeciso
indefensión,3.619,1.962,indefension
indefinible,2.35,1.663,indefinible
indefinido,2.143,1.526,indefinido
indemne,2.091,1.377,indemne
indemnización,2.524,1.209,indemnizacion
indemnizar,2.476,1.601,indemnizar
independencia,2.619,2.012,independencia
independentista,2.762,1.446,independentista
independiente,3.042,2.274,independiente
independizar,2.68,1.887,independizar
indescriptible,3.5,2.09,indescriptible
indeseable,2.95,1.791,indeseable
indestructible,4.2,2.121,indestructible
indeterminado,2.85,1.785,indeterminado
india,2.913,2.314,india
indicación,3.2,1.78,indicacion
indicador,2.182,1.402,indicador
indicar,2.92,1.605,indicar
índice,2.75,2.005,indice
indiferencia,3.0,2.121,indiferencia
indígena,2.391,1.588,indigena
indigencia,1.8,1.196,indigencia
indigna,3.13,2.007,indigna
indignación,4.4,2.102,indignacion
indigno,2.826,1.614,indigno
indirecta,3.7,1.867,indirecta
indirecto,3.72,2.052,indirecto
indiscreta,3.84,1.972,indiscreta
indiscriminada,3.52,2.182,indiscriminada
indiscutible,2.364,1.529,indiscutible
indispensable,3.16,1.864,indispensable
individualidad,2.045,1.558,individualidad
individualismo,2.818,1.842,individualismo
individualista,1.905,1.221,individualista
individuo,2.56,1.609,individuo
indivisible,1.667,1.426,indivisible
índole,1.913,1.443,indole
indolencia,1.958,1.488,indolencia
indolente,1.5,1.098,indolente
indomable,3.375,2.123,indomable
indonesia,2.68,1.406,indonesia
inducción,2.19,1.365,induccion
inducir,3.72,2.011,inducir
indudable,3.2,1.683,indudable
indulgencia,2.8,1.893,indulgencia
indulgente,1.526,0.772,indulgente
indulto,1.92,1.382,indulto
indumentaria,1.864,1.167,indumentaria
industriales,2.8,2.0,industriales
industrialización,3.773,2.114,industrializacion
inédito,3.429,2.135,inedito
ineficacia,2.381,1.596,ineficacia
ineficaz,3.167,1.903,ineficaz
ineficiente,2.52,1.873,ineficiente
ineludible,1.667,1.572,ineludible
inequívoca,3.042,1.654,inequivoca
inercia,1.143,0.478,inercia
inercial,2.292,1.805,inercial
inerte,3.375,2.337,inerte
inesperado,2.84,1.65,inesperado
inestabilidad,3.565,1.996,inestabilidad
inestable,3.44,2.382,inestable
inestimable,3.16,1.675,inestimable
inevitable,3.25,1.832,inevitable
inexistencia,2.783,1.953,inexistencia
inexistente,2.364,1.56,inexistente
inexorable,2.167,1.581,inexorable
inexperiencia,2.318,1.585,inexperiencia
inexperta,2.696,1.987,inexperta
inexplicable,3.571,1.805,inexplicable
inexpugnable,2.842,1.608,inexpugnable
infalible,3.0,1.784,infalible
infame,3.458,1.956,infame
infamia,2.722,1.742,infamia
infante,3.28,1.969,infante
infantería,2.583,1.586,infanteria
infanticidio,3.211,1.903,infanticidio
infatigable,3.619,1.91,infatigable
infelicidad,4.227,2.369,infelicidad
inferencia,1.917,1.53,inferencia
inferir,3.36,2.177,inferir
infernal,3.273,1.907,infernal
infiltración,3.76,1.899,infiltracion
ínfima,3.381,2.037,infima
infinidad,4.08,1.977,infinidad
infinita,3.32,1.282,infinita
infinitud,3.92,1.913,infinitud
inflamable,3.364,2.128,inflamable
inflamación,4.0,1.658,inflamacion
inflexible,3.76,1.832,inflexible
inflexión,2.81,1.504,inflexion
inflorescencia,2.0,1.414,inflorescencia
influencia,2.25,1.682,influencia
influir,3.714,1.821,influir
influjo,2.421,1.742,influjo
influyente,3.12,1.787,influyente
informal,3.0,1.892,informal
informar,2.5,1.719,informar
informativo,2.6,1.658,informativo
infortunio,2.81,1.436,infortunio
infracción,3.32,1.842,infraccion
infraestructura,3.24,2.107,infraestructura
inframundo,3.286,2.239,inframundo
infranqueable,2.857,1.982,infranqueable
infrarrojo,3.32,1.973,infrarrojo
infrecuente,2.5,1.566,infrecuente
infringir,2.68,1.464,infringir
infundir,2.286,1.586,infundir
infusión,2.833,1.551,infusion
ingeniera,3.261,2.32,ingeniera
ingeniería,2.8,1.78,ingenieria
ingenioso,2.455,1.654,ingenioso
ingenua,2.32,1.676,ingenua
ingenuidad,2.182,1.468,ingenuidad
ingenuo,2.15,1.663,ingenuo
ingerir,2.455,1.711,ingerir
ingesta,3.05,2.114,ingesta
ingestión,2.667,1.749,ingestion
ingles,3.136,2.031,ingles
inglés,2.609,1.828,ingles
inglesa,2.091,1.411,inglesa
ingratitud,3.5,1.96,ingratitud
ingrato,2.696,1.55,ingrato
ingredientes,1.727,1.241,ingredientes
inhabilitación,2.35,1.899,inhabilitacion
inhalación,4.44,1.635,inhalacion
inherente,2.5,1.757,inherente
inhibición,2.4,1.569,inhibicion
inhibir,2.417,1.316,inhibir
inhumano,3.64,2.234,inhumano
iniciación,3.3,2.105,iniciacion
iniciador,2.227,1.51,iniciador
inicial,3.0,1.732,inicial
iniciar,3.4,1.984,iniciar
iniciativa,3.28,1.792,iniciativa
inicio,3.96,2.491,inicio
inigualable,2.667,2.176,inigualable
inimaginable,4.19,2.182,inimaginable
inimitable,4.08,2.04,inimitable
ininterrumpida,4.08,2.235,ininterrumpida
injustificada,3.8,2.273,injustificada
injusto,3.333,1.958,injusto
inmaterial,2.042,1.574,inmaterial
inmediatez,2.783,1.976,inmediatez
inmediato,3.85,1.954,inmediato
inmejorable,3.833,2.259,inmejorable
inmemorial,2.4,1.635,inmemorial
inmensa,4.0,2.121,inmensa
inmersión,2.714,1.554,inmersion
inmerso,2.714,1.554,inmerso
inmigración,4.0,1.979,inmigracion
inmigrante,4.1,2.269,inmigrante
inminencia,2.333,1.39,inminencia
inminente,3.68,2.036,inminente
inmoralidad,2.087,1.564,inmoralidad
inmortal,3.364,1.965,inmortal
inmortalidad,1.81,1.569,inmortalidad
inmóvil,3.917,1.932,inmovil
inmovilidad,2.143,1.652,inmovilidad
inmovilismo,3.8,2.419,inmovilismo
inmueble,2.7,1.342,inmueble
inmunda,3.227,2.137,inmunda
inmune,3.2,2.082,inmune
inmunidad,3.045,1.864,inmunidad
inmunológico,3.375,2.143,inmunologico
inmutable,3.455,1.896,inmutable
innata,3.32,2.076,innata
innecesario,2.5,1.946,innecesario
innegable,2.92,1.73,innegable
innoble,2.81,1.569,innoble
innovador,1.571,0.87,innovador
innovadora,2.4,1.501,innovadora
innovar,3.4,1.729,innovar
inocencia,2.92,1.73,inocencia
inofensivo,3.48,1.735,inofensivo
inolvidable,2.35,1.899,inolvidable
inoportuno,2.182,1.532,inoportuno
inoxidable,3.25,1.803,inoxidable
inquebrantable,3.5,1.888,inquebrantable
inquietante,3.0,1.826,inquietante
inquietud,2.96,1.859,inquietud
inquilino,2.083,1.613,inquilino
inquirir,1.8,1.265,inquirir
inquisición,2.571,1.886,inquisicion
inquisidor,2.955,1.889,inquisidor
insaciable,2.409,1.469,insaciable
insalvable,3.429,1.535,insalvable
insatisfacción,3.318,1.836,insatisfaccion
insatisfecho,3.36,1.912,insatisfecho
inscripción,1.667,1.197,inscripcion
inseminación,2.818,2.196,inseminacion
insensatez,3.0,1.844,insensatez
insensibilidad,2.81,1.662,insensibilidad
insensible,2.8,1.795,insensible
inserción,3.619,1.499,insercion
inserta,2.857,1.957,inserta
insertar,3.16,1.864,insertar
inservible,2.714,1.901,inservible
insigne,1.6,0.986,insigne
insignia,1.5,0.946,insignia
insignificante,3.32,2.116,insignificante
insinuación,3.28,1.792,insinuacion
insinuar,2.773,1.716,insinuar
insistencia,3.571,1.66,insistencia
insistente,2.524,1.75,insistente
insistir,2.5,1.626,insistir
insolencia,2.375,1.884,insolencia
insólito,2.478,1.702,insolito
insoluble,2.455,1.503,insoluble
insolvencia,2.13,1.456,insolvencia
insondable,2.118,1.364,insondable
insoportable,3.667,2.22,insoportable
insostenible,2.522,1.806,insostenible
inspección,2.542,1.693,inspeccion
inspector,2.64,1.8,inspector
inspirador,3.4,2.0,inspirador
instalación,2.318,1.524,instalacion
instalador,2.55,1.761,instalador
instalar,2.524,1.601,instalar
instantánea,3.429,1.777,instantanea
instar,2.333,1.579,instar
instauración,3.619,1.936,instauracion
instintiva,2.64,1.524,instintiva
instinto,2.909,1.875,instinto
institucional,2.143,1.558,institucional
institucionalización,3.0,2.121,institucionalizacion
instituir,2.348,1.799,instituir
institutriz,3.095,1.7,institutriz
instrucción,3.571,1.777,instruccion
instrucciones,3.76,2.006,instrucciones
instructor,2.905,1.841,instructor
instruir,2.32,1.626,instruir
instrumentación,3.238,1.729,instrumentacion
instrumental,2.571,1.748,instrumental
instrumento,2.5,1.596,instrumento
insuficiencia,2.545,1.565,insuficiencia
insufrible,3.68,2.036,insufrible
ínsula,2.571,1.859,insula
insular,3.0,1.642,insular
insulina,1.955,0.95,insulina
insultante,2.55,1.504,insultante
insultar,3.55,1.761,insultar
insuperable,2.727,1.907,insuperable
insurgencia,2.174,1.267,insurgencia
insurgente,2.833,1.88,insurgente
insurrección,3.105,2.105,insurreccion
intachable,3.5,1.793,intachable
intacta,3.72,2.011,intacta
intangible,3.043,1.988,intangible
íntegra,2.652,1.335,integra
integración,3.143,1.824,integracion
integrador,3.0,1.633,integrador
integral,2.826,1.723,integral
integrante,3.16,2.192,integrante
integrar,2.571,1.69,integrar
integridad,3.087,1.975,integridad
integrismo,3.24,1.832,integrismo
integrista,1.81,1.03,integrista
intelectualidad,3.19,1.806,intelectualidad
inteligencia,2.565,1.95,inteligencia
inteligible,3.143,1.957,inteligible
intemperie,1.905,1.179,intemperie
intención,2.773,1.95,intencion
intencional,1.955,1.362,intencional
intencionalidad,2.6,1.607,intencionalidad
intendencia,1.619,0.805,intendencia
intendente,2.895,1.912,intendente
intensa,3.792,1.956,intensa
intensificación,4.68,2.135,intensificacion
intensificar,3.048,1.91,intensificar
intensiva,3.8,1.936,intensiva
intentar,2.5,1.769,intentar
intento,2.727,1.804,intento
intentona,1.789,1.134,intentona
inter,2.727,1.778,inter
interacción,2.381,1.465,interaccion
interactiva,2.8,1.936,interactiva
interactividad,3.3,1.922,interactividad
interactuar,2.96,1.399,interactuar
interanual,3.435,2.253,interanual
intercambiar,2.364,1.529,intercambiar
intercambio,3.143,2.056,intercambio
interceder,1.667,1.017,interceder
interceptar,3.32,1.626,interceptar
intercesión,2.381,1.658,intercesion
interconexión,3.727,1.98,interconexion
intercultural,2.318,1.729,intercultural
interdependencia,1.81,1.167,interdependencia
interesado,2.261,1.484,interesado
interesante,2.833,1.659,interesante
interesar,2.217,1.731,interesar
interestelar,2.545,1.565,interestelar
interfaz,2.391,1.5,interfaz
interferencia,3.08,1.869,interferencia
interfono,3.13,2.138,interfono
interino,2.35,1.226,interino
interior,2.409,1.652,interior
interlocutor,2.227,1.688,interlocutor
intermediación,2.64,1.846,intermediacion
intermediario,3.13,1.961,intermediario
intermedio,3.81,1.914,intermedio
interminable,3.826,2.015,interminable
intermitente,3.818,2.174,intermitente
interna,3.227,2.114,interna
internacional,3.227,1.798,internacional
internacionalización,2.4,1.875,internacionalizacion
internamiento,3.44,2.022,internamiento
internet,3.88,2.315,internet
interpelación,2.059,1.435,interpelacion
interponer,2.826,1.586,interponer
interposición,2.368,1.64,interposicion
interpretación,1.955,1.463,interpretacion
interpretar,3.13,2.007,interpretar
interpretativa,3.12,2.147,interpretativa
intérprete,2.45,1.669,interprete
interrelación,3.08,1.631,interrelacion
interrogación,2.524,1.94,interrogacion
interrogante,4.24,2.185,interrogante
interrogar,2.6,1.569,interrogar
interrogatorio,4.24,2.047,interrogatorio
interrumpir,2.818,1.842,interrumpir
interruptor,4.16,2.014,interruptor
intersección,4.2,1.848,interseccion
intervalo,2.208,1.382,intervalo
intervención,3.25,1.917,intervencion
intervencionismo,3.12,1.878,intervencionismo
intervenir,2.429,1.399,intervenir
interventor,2.2,1.642,interventor
intestinal,2.857,2.22,intestinal
intestino,3.44,2.022,intestino
intimidación,3.88,1.787,intimidacion
intimidad,1.714,1.189,intimidad
intimista,2.958,1.876,intimista
intolerable,2.84,1.599,intolerable
intolerancia,2.35,1.785,intolerancia
intoxicación,4.217,1.953,intoxicacion
intranquilidad,3.35,1.954,intranquilidad
intransigencia,2.714,1.648,intransigencia
intransigente,3.292,2.032,intransigente
intrépido,1.68,0.945,intrepido
intriga,2.52,1.759,intriga
intrínseca,3.52,1.939,intrinseca
introducción,2.81,2.04,introduccion
introducir,3.833,1.761,introducir
intromisión,3.75,1.916,intromision
introspección,2.6,1.635,introspeccion
intrusión,3.429,1.66,intrusion
intuición,3.174,1.749,intuicion
intuir,2.19,1.721,intuir
intuitiva,2.609,1.672,intuitiva
inundaciones,2.619,1.564,inundaciones
inundado,3.64,2.099,inundado
inundar,2.714,1.765,inundar
inusual,3.72,1.969,inusual
inútil,3.455,2.064,inutil
inutilidad,2.2,1.542,inutilidad
invadir,3.174,1.875,invadir
invalidez,2.4,1.667,invalidez
invariable,2.5,1.732,invariable
invencible,4.333,1.528,invencible
invención,2.2,1.225,invencion
inventario,1.619,1.203,inventario
inventiva,2.0,1.491,inventiva
invento,2.048,1.499,invento
inventor,4.0,2.176,inventor
invernal,4.095,1.786,invernal
inverosímil,2.5,1.626,inverosimil
inversa,3.286,1.821,inversa
inversión,2.591,1.652,inversion
inversor,3.35,2.084,inversor
investidura,2.92,2.06,investidura
investigación,3.32,2.015,investigacion
investigar,2.68,1.725,investigar
inviable,3.952,2.247,inviable
invierno,2.909,1.688,invierno
inviolabilidad,2.636,1.677,inviolabilidad
inviolable,3.476,2.182,inviolable
invisible,3.15,2.11,invisible
invitar,3.045,1.759,invitar
invocación,3.045,2.011,invocacion
invocar,3.96,2.071,invocar
involucrar,2.0,1.272,involucrar
involuntario,2.696,1.893,involuntario
inyectar,4.6,1.465,inyectar
ion,2.696,1.769,ion
ir,2.72,1.969,ir
iraní,2.48,1.851,irani
iraquí,2.875,2.071,iraqui
irascible,2.278,1.364,irascible
iris,2.25,1.618,iris
irlandés,3.238,2.234,irlandes
irlandesa,2.952,1.802,irlandesa
ironía,2.92,1.754,ironia
irónico,2.091,1.231,ironico
ironizar,1.952,1.465,ironizar
irracional,3.0,1.756,irracional
irradiación,4.48,1.759,irradiacion
irradiar,3.095,1.947,irradiar
irreal,2.5,1.762,irreal
irrefutable,3.08,1.801,irrefutable
irregular,3.13,1.766,irregular
irregularidad,3.0,1.624,irregularidad
irrelevante,2.381,1.717,irrelevante
irremediable,3.13,1.359,irremediable
irrenunciable,2.3,2.003,irrenunciable
irreparable,3.45,2.212,irreparable
irrepetible,2.5,1.745,irrepetible
irreprochable,2.8,1.893,irreprochable
irresistible,3.957,1.965,irresistible
irresponsabilidad,5.08,2.29,irresponsabilidad
irresponsable,3.44,1.583,irresponsable
irreversible,3.2,1.881,irreversible
irrevocable,3.364,1.989,irrevocable
irrigación,3.217,1.953,irrigacion
irritante,3.4,1.789,irritante
irrumpir,2.571,1.832,irrumpir
irrupción,3.56,2.103,irrupcion
isla,2.64,1.934,isla
islámico,3.048,2.247,islamico
islamismo,4.08,1.977,islamismo
islamista,3.211,2.043,islamista
islandés,2.714,1.793,islandes
islote,4.286,2.217,islote
isótopo,2.5,1.719,isotopo
israelí,2.905,2.256,israeli
istmo,2.273,1.804,istmo
italiana,3.36,2.119,italiana
italiano,3.1,1.971,italiano
itálica,1.842,1.425,italica
ítem,2.0,1.183,item
itinerante,3.708,2.01,itinerante
itinerario,1.905,1.091,itinerario
izar,2.45,1.701,izar
izquierda,2.28,1.792,izquierda
izquierdista,4.28,1.792,izquierdista
jabalina,2.636,1.529,jabalina
jacinto,2.143,1.526,jacinto
jade,1.692,0.947,jade
jadeante,4.0,2.0,jadeante
jaguar,4.4,2.041,jaguar
jamás,3.75,2.049,jamas
jamón,3.88,2.128,jamon
japón,3.429,2.135,japon
japonés,3.348,2.405,japones
japuta,4.333,2.059,japuta
jaque,3.833,2.22,jaque
jarabe,2.042,1.301,jarabe
jardinería,2.636,1.677,jardineria
jarro,2.583,1.909,jarro
jaula,3.826,2.146,jaula
jazmín,3.12,2.027,jazmin
jazz,4.19,1.692,jazz
jefa,2.9,1.944,jefa
jefatura,2.409,1.79,jefatura
jengibre,2.55,1.905,jengibre
jeque,2.8,1.824,jeque
jerárquica,2.65,1.843,jerarquica
jerez,2.591,2.085,jerez
jerga,3.04,2.031,jerga
jesuita,1.81,1.25,jesuita
jet,3.25,2.124,jet
jilguero,2.85,2.11,jilguero
jineta,2.737,1.91,jineta
jinete,2.84,1.724,jinete
jiñar,4.833,1.834,jinar
jipiar,3.727,2.37,jipiar
joder,3.92,2.448,joder
jornada,2.7,2.003,jornada
jota,3.429,1.886,jota
jovencita,4.429,2.014,jovencita
joyas,3.0,1.556,joyas
joyería,2.85,2.007,joyeria
joyero,3.565,2.39,joyero
jubilación,2.381,1.431,jubilacion
judaísmo,2.5,1.711,judaismo
judías,1.708,1.122,judias
judicatura,2.364,1.649,judicatura
judicial,2.35,2.059,judicial
judío,1.864,1.457,judio
judo,2.68,1.6,judo
juerga,3.261,2.158,juerga
jueza,3.15,2.11,jueza
jugada,2.76,1.332,jugada
jugador,2.227,1.631,jugador
jugadora,2.4,2.01,jugadora
juicio,2.333,1.317,juicio
juicioso,2.857,1.931,juicioso
julio,2.143,1.59,julio
jungla,3.476,1.99,jungla
junio,2.32,1.492,junio
junior,3.333,2.033,junior
júnior,3.056,2.155,junior
junta,2.81,1.47,junta
juntar,3.04,2.15,juntar
junto,3.6,2.0,junto
jura,2.88,2.007,jura
jurado,3.261,2.179,jurado
juramento,3.5,2.087,juramento
jurar,2.783,1.678,jurar
jurídicas,1.952,1.431,juridicas
jurídico,2.913,1.881,juridico
jurisdicción,2.429,1.469,jurisdiccion
jurisdiccional,2.182,1.708,jurisdiccional
jurisprudencia,3.136,1.859,jurisprudencia
jurisprudencial,2.167,1.465,jurisprudencial
jurista,2.909,2.045,jurista
juro,2.857,2.032,juro
justificación,3.48,2.044,justificacion
justificar,3.08,1.869,justificar
justito,5.13,1.842,justito
juvenil,3.818,1.79,juvenil
juzgado,2.409,1.79,juzgado
juzgar,1.333,0.483,juzgar
kaki,2.619,1.857,kaki
karate,3.75,2.403,karate
karma,3.375,2.102,karma
kayak,3.56,2.2,kayak
kilo,3.364,2.536,kilo
kilogramo,4.429,2.158,kilogramo
kilolitro,3.44,2.181,kilolitro
kilómetro,2.952,1.802,kilometro
kiwi,2.55,2.139,kiwi
kriptón,4.4,1.993,kripton
labios,4.08,2.1,labios
labor,3.429,2.111,labor
laboral,2.84,1.841,laboral
laborioso,3.8,1.979,laborioso
laborismo,1.571,1.207,laborismo
laborista,2.636,2.06,laborista
labranza,2.75,1.07,labranza
labrar,3.04,2.071,labrar
lacayo,1.938,1.389,lacayo
lacra,2.913,2.021,lacra
lactancia,3.28,1.926,lactancia
ladera,2.4,2.137,ladera
ladrar,3.864,2.21,ladrar
ladrido,3.136,1.833,ladrido
ladrón,3.12,1.943,ladron
laguna,2.783,1.858,laguna
laicismo,1.85,1.565,laicismo
laico,2.273,1.486,laico
lambada,3.222,2.016,lambada
lambda,4.286,2.289,lambda
lameculos,3.565,2.233,lameculos
lamentable,3.4,1.979,lamentable
lamer,3.381,1.687,lamer
lámina,2.261,1.602,lamina
lana,2.25,1.567,lana
lanar,1.941,1.56,lanar
lance,2.652,1.748,lance
langosta,2.16,1.463,langosta
lánguida,3.65,2.159,languida
lanzadera,3.619,1.962,lanzadera
lanzador,2.364,1.59,lanzador
lanzagranadas,3.952,2.085,lanzagranadas
lanzallamas,4.4,2.088,lanzallamas
lanzamiento,2.773,1.744,lanzamiento
lanzamisiles,3.263,2.182,lanzamisiles
lapa,3.652,2.058,lapa
lápida,2.409,1.736,lapida
lapidación,3.6,2.062,lapidacion
lapislázuli,2.278,1.776,lapislazuli
lapso,3.095,1.7,lapso
larga,3.6,1.635,larga
largo,3.304,2.305,largo
largometraje,4.045,2.193,largometraje
larguísima,5.88,1.364,larguisima
laringitis,4.32,2.015,laringitis
larva,2.4,1.875,larva
láser,2.5,1.819,laser
lastimero,2.3,1.455,lastimero
lastre,3.56,2.238,lastre
latente,2.739,1.685,latente
lateral,3.476,1.914,lateral
látex,2.682,2.169,latex
latín,1.524,1.537,latin
latina,3.095,1.998,latina
latino,2.522,1.997,latino
latinoamericano,4.08,2.06,latinoamericano
latir,3.909,2.022,latir
latitud,2.455,1.738,latitud
latón,1.706,1.448,laton
laúd,2.2,1.897,laud
laurel,2.348,1.555,laurel
lava,2.273,1.453,lava
lavado,2.958,1.899,lavado
lavanda,2.864,2.1,lavanda
lavandero,3.895,2.283,lavandero
lavar,3.24,1.615,lavar
lavavajillas,2.92,1.956,lavavajillas
lazo,1.714,1.309,lazo
lea,2.381,1.465,lea
lección,2.55,2.038,leccion
lecho,1.739,1.137,lecho
lechuga,2.364,1.329,lechuga
lector,2.6,1.555,lector
lecturas,1.762,1.411,lecturas
legado,2.042,1.398,legado
legal,2.857,1.905,legal
legalización,2.75,1.894,legalizacion
legalizar,2.762,1.411,legalizar
legar,2.273,1.609,legar
legendario,2.333,1.834,legendario
legión,1.632,1.012,legion
legionario,2.333,1.88,legionario
legionela,1.167,0.514,legionela
legislación,2.304,1.82,legislacion
legislador,2.8,1.607,legislador
legislar,2.72,2.112,legislar
legislativo,3.952,2.037,legislativo
legislatura,2.048,1.627,legislatura
legítima,3.095,1.841,legitima
legitimación,1.947,1.393,legitimacion
legitimar,2.8,1.384,legitimar
legitimidad,1.545,0.858,legitimidad
lego,1.905,1.546,lego
legua,2.364,1.432,legua
lejanía,3.8,2.082,lejania
lejano,2.857,1.852,lejano
lelo,4.75,1.943,lelo
lema,2.833,2.014,lema
lengua,2.8,1.756,lengua
lenguado,2.96,1.837,lenguado
lenguaje,3.76,2.026,lenguaje
lenta,3.25,1.888,lenta
lente,3.08,1.956,lente
lentillas,2.048,1.359,lentillas
lentitud,3.7,1.895,lentitud
leña,2.88,1.856,lena
leño,4.28,1.948,leno
leona,3.0,1.936,leona
leonés,2.81,1.692,leones
leotardo,2.682,2.191,leotardo
lerdo,3.304,2.183,lerdo
letargo,2.739,2.027,letargo
letrado,2.316,1.336,letrado
letrero,2.95,2.305,letrero
leucemia,2.304,1.795,leucemia
levadura,2.545,1.535,levadura
levantamiento,2.2,1.683,levantamiento
levantar,3.0,2.062,levantar
levante,2.591,1.469,levante
leve,3.4,1.756,leve
levita,3.208,1.888,levita
lexema,2.84,1.886,lexema
léxico,2.238,1.411,lexico
ley,2.727,1.778,ley
leyendas,3.238,2.095,leyendas
lía,2.095,1.261,lia
libanés,2.565,1.95,libanes
liberal,2.409,1.736,liberal
liberalidad,3.409,1.992,liberalidad
liberalismo,4.0,2.055,liberalismo
liberalización,1.667,1.155,liberalizacion
liberalizar,3.32,1.819,liberalizar
libertador,2.81,1.861,libertador
libertario,3.95,2.064,libertario
libertinaje,2.792,2.0,libertinaje
libido,2.68,1.865,libido
libio,2.312,1.621,libio
libra,3.04,2.091,libra
librar,2.381,1.465,librar
librero,2.783,1.783,librero
libreto,2.417,1.998,libreto
librito,4.095,2.211,librito
licencia,2.368,1.571,licencia
licenciar,2.955,1.812,licenciar
licenciatura,3.4,1.683,licenciatura
liceo,2.19,1.632,liceo
licitación,1.474,1.219,licitacion
lícito,2.95,2.212,licito
licor,3.2,1.826,licor
licuadora,3.32,1.93,licuadora
liderar,3.292,1.732,liderar
liderato,2.818,1.435,liderato
liderazgo,3.92,2.06,liderazgo
lidia,2.348,1.722,lidia
lidiar,2.348,1.434,lidiar
lienzo,2.958,2.074,lienzo
ligamento,2.524,1.632,ligamento
ligera,2.682,1.81,ligera
ligereza,3.36,1.955,ligereza
ligero,3.565,2.191,ligero
liguero,2.5,1.606,liguero
lijadora,3.667,1.932,lijadora
lila,2.96,2.318,lila
lilo,2.643,1.946,lilo
limbo,4.0,2.121,limbo
limitación,2.455,1.683,limitacion
limitar,3.6,1.826,limitar
límite,4.3,2.13,limite
limonada,3.8,2.191,limonada
limonero,4.0,2.363,limonero
limosna,2.143,1.621,limosna
limpiadora,2.522,1.675,limpiadora
limpiar,2.76,1.786,limpiar
limpieza,1.619,1.161,limpieza
limusina,3.0,1.848,limusina
linaje,2.833,1.88,linaje
linda,2.227,1.445,linda
lindar,2.72,1.72,lindar
línea,3.818,2.062,linea
lineal,4.5,1.987,lineal
linear,3.76,1.943,linear
lingüista,3.263,1.881,linguista
lingüística,4.12,2.279,linguistica
lino,2.739,1.421,lino
liquidación,2.905,1.814,liquidacion
liquidar,2.684,1.916,liquidar
liquidez,3.88,2.027,liquidez
líquido,2.85,2.007,liquido
lírica,3.64,1.524,lirica
lirio,2.35,1.565,lirio
lisa,4.36,1.655,lisa
listado,2.19,1.721,listado
listón,3.56,1.938,liston
litera,2.238,1.758,litera
literal,2.76,2.026,literal
literaria,3.542,2.043,literaria
literato,4.619,2.269,literato
literatura,2.429,1.469,literatura
litio,2.353,1.693,litio
litoral,3.043,2.033,litoral
lituano,2.65,2.007,lituano
liturgia,1.812,0.834,liturgia
litúrgico,1.588,1.372,liturgico
liviana,2.238,1.48,liviana
lívido,3.08,2.019,livido
llaga,3.304,1.743,llaga
llamamiento,3.7,2.055,llamamiento
llamarada,3.25,2.149,llamarada
llamativo,3.2,2.102,llamativo
llame,2.545,1.535,llame
llanura,3.095,1.729,llanura
llegada,2.087,1.535,llegada
llegar,3.96,1.989,llegar
llenado,4.833,1.761,llenado
llenar,4.24,1.985,llenar
lleno,3.76,2.185,lleno
llevar,2.619,1.322,llevar
llorar,1.762,1.411,llorar
lloro,4.1,2.125,lloro
llorón,4.56,2.103,lloron
llover,3.565,2.171,llover
lluviosa,3.32,1.819,lluviosa
loable,2.647,1.32,loable
lóbulo,2.682,1.756,lobulo
localidad,2.905,2.095,localidad
localización,2.818,1.816,localizacion
localizar,1.619,1.244,localizar
loco,3.217,2.235,loco
locomoción,3.625,1.74,locomocion
locomotora,3.75,1.939,locomotora
locución,2.609,1.373,locucion
locutor,2.273,1.778,locutor
lodo,3.0,1.877,lodo
lógica,2.524,1.834,logica
logística,3.16,2.095,logistica
logo,3.609,2.5,logo
logopeda,2.6,1.555,logopeda
logotipo,2.409,1.817,logotipo
loma,3.409,2.062,loma
lombarda,2.826,1.825,lombarda
lomo,2.76,1.69,lomo
lona,2.08,1.382,lona
londinense,4.32,2.322,londinense
loneta,1.333,1.0,loneta
longevidad,4.6,1.759,longevidad
longitud,2.92,2.216,longitud
longitudinal,3.783,2.066,longitudinal
loquero,3.85,1.927,loquero
losa,2.19,1.436,losa
lote,2.136,1.39,lote
loto,2.636,2.036,loto
lozana,2.0,1.813,lozana
lubina,2.182,1.816,lubina
lucero,3.864,2.007,lucero
luchar,2.727,1.751,luchar
lucidez,3.24,1.64,lucidez
lúcido,3.619,1.962,lucido
lucimiento,2.4,1.729,lucimiento
lucir,2.409,1.593,lucir
lucrativo,2.333,1.606,lucrativo
lucro,2.316,1.887,lucro
lúdico,2.0,1.717,ludico
luego,3.12,2.007,luego
lugarteniente,1.739,1.214,lugarteniente
lúgubre,3.25,2.074,lugubre
lujoso,2.864,1.642,lujoso
lumbago,2.857,1.769,lumbago
