palabra,mean_awe,mean_relief,mean_excitement,mean_amusement,mean_pleasure,mean_contentment,mean_serenity,sd_awe,sd_relief,sd_excitement,sd_amusement,sd_pleasure,sd_contentment,sd_serenity,palabra_noaccents
razón,3.15,3.9,3.1,2.9,3.3,3.3,3.54545,1.1821,1.02084,1.51831,1.37267,1.52523,1.0311,1.05683,razon
razonable,2.95,3.36364,2.8,2.35,3.3,3.2,3.65,1.35627,1.39882,1.10501,1.22582,1.12858,1.36111,1.13671,razonable
razonar,2.95,3.65,2.9,2.25,3.53846,3.4,3.45,1.31689,1.26803,1.25237,1.11803,1.20767,1.63514,1.09904,razonar
reacción,3.13636,2.5,3.15,2.45,3.0,2.7,2.2,1.28343,1.10024,1.1821,1.35627,0.8584,1.34164,1.08012,reaccion
reaccionar,3.21739,2.2,3.05,2.75,2.85,3.45,1.9,1.47576,1.05631,1.23438,1.33278,1.42441,0.88704,0.91191,reaccionar
reactivación,2.4,3.35,3.26087,2.3,3.1,2.95,2.4,1.31389,1.08942,1.13688,1.38031,1.25237,1.23438,1.3917,reactivacion
reactivar,3.3,3.05,3.0,2.4,2.45,3.35,2.28571,1.17429,1.2763,1.1239,1.42902,1.23438,1.03999,1.23056,reactivar
reactor,1.85,1.65,2.09524,1.40909,1.8,1.76471,1.55,1.22582,1.08942,1.33809,0.95912,0.95145,1.03256,0.68633,reactor
reafirmar,2.3,3.75,2.65,1.68182,2.85,3.65,3.15,1.45458,0.91047,1.42441,0.99457,1.30888,1.08942,1.30888,reafirmar
real,2.8,3.4,3.1,3.0,3.55,3.0,3.0,1.39925,1.23117,1.68273,1.48678,1.35627,1.47196,1.21395,real
realeza,2.25,1.7,2.55,1.68,1.68182,1.95,2.25,1.48235,0.97872,1.46808,1.21518,1.08612,0.88704,1.29269,realeza
realidad,3.54545,2.95,2.875,2.4,3.1,3.40909,2.86957,1.47122,1.14593,1.2619,1.14248,1.41049,1.46902,1.28997,realidad
realismo,2.7,2.75,3.1,2.75,3.15,3.3,2.79167,1.30182,1.44641,1.41049,1.11803,1.13671,1.21828,1.35066,realismo
realista,3.3,3.25,2.85,2.25,2.95,2.95,3.47619,1.26074,1.33278,1.26803,1.44641,1.31689,1.19097,0.98077,realista
realización,2.875,3.4,3.6,2.6,3.35,4.35,3.1,1.42379,1.35336,1.18766,1.23117,1.30888,0.74516,1.11921,realizacion
realizar,3.13043,3.35,3.3,2.5,3.2,3.69565,2.9,1.09977,1.42441,1.08094,1.23544,1.05631,1.10514,1.20961,realizar
reanimar,2.95,3.55,2.85,1.71429,3.15,3.95,2.55,1.53811,1.19097,1.34849,1.14642,1.59852,1.19097,1.39454,reanimar
reanudación,2.25,3.15,3.10526,2.40909,2.6,2.95,2.7,1.16416,0.98809,1.14962,1.36832,1.18766,1.09904,1.17429,reanudacion
reanudar,2.2,2.85,2.95,2.1,2.85,3.1,2.5,1.19649,1.08942,1.2763,1.20961,1.26803,1.29371,1.31789,reanudar
reaparición,2.28571,2.9,3.04762,2.63636,1.94737,3.09524,2.25,1.27055,1.25237,1.07127,1.329,1.26814,1.51343,1.01955,reaparicion
reapertura,2.8,2.9,3.15789,3.4,3.15,3.2,2.45,1.28145,1.58612,1.30227,1.31389,1.30888,1.39925,1.57196,reapertura
rebajar,1.8,3.55,2.45,2.2,3.25,3.0,2.31818,1.19649,1.23438,1.14593,1.10501,1.33278,1.62221,1.21052,rebajar
rebaño,1.75,2.25,2.1,1.85,1.7,1.85,2.45,0.8507,1.44641,1.37267,0.9333,0.92338,0.9333,1.09904,rebano
rebelde,2.3,1.7,2.85,3.3,3.15,2.31818,1.8,1.38031,1.0311,1.08942,1.34164,0.98809,1.35879,1.10501,rebelde
rebeldía,2.85,2.0,2.95,2.85,2.3,2.45,1.44,1.22582,1.25656,1.39454,1.13671,1.30182,1.14593,0.91652,rebeldia
rebelión,2.4,1.7,2.65,1.90476,2.30435,2.4,1.5,1.42902,0.92338,1.22582,1.17918,1.57926,1.53554,0.76089,rebelion
